order,sender,message,receiver
52,8,"Volgens mij is het heel positief dat we echt binnenkort de eerste ondertekeningen krijgen van de maatwerkafspraken. Volgens mij wordt er daadwerkelijk wel wat gedaan. Als ik even kijk naar de stukken, schrik ik ook wel van wat we zien tussen IenW en het ministerie dat voormalig bij EZK zat, nu KGG, over bijvoorbeeld de raffinageroute. Het lijkt me heel erg belangrijk dat we juist niet tussen departementen gaan vechten over waar we dat geld gaan inzetten. Ik wil graag van deze minister horen of we nu eindelijk een keus hebben gemaakt wat betreft die raffinageroute en dat die gewoon via KGG kan gaan en dat we het daarbij laten.",6
53,6,"Ik vind dat een hele goede vraag van mevrouw Postma. Onderling vechten, wat het artikel suggereert, zou natuurlijk een slechte zaak zijn. Ik kan u melden dat dit absoluut niet het geval is. Er wordt goed, constructief samengewerkt tussen mijn ministerie en KGG. Dat gaat eigenlijk heel goed, moet ik eerlijk zeggen. In die zin geen zorgen. Binnenkort kunt u de eerste uitgewerkte afspraak verwachten. Er volgen er nog vele daarna. Ik zie dat ook goed gaan. Ten aanzien van uw vraag over de raffinagepraktijken: daarbij heeft de minister van KGG het voortouw, dus ik neem aan dat zij de Kamer daarover juist zal informeren.",8
54,9,"Ik ben het helemaal met de minister eens dat we die bedrijven gewoon keihard nodig hebben voor het verdienvermogen van Nederland, waardoor ook de mensen hier betaald kunnen worden, maar ook de mensen in de langdurige zorg betaald kunnen worden en allerlei zaken betaald kunnen worden die ons land een fijn land maken. Voor de mensen thuis: die raffinageroute gaat erom dat het tweeënhalf keer goedkoper is om fossiele brandstoffen te vervangen door biobrandstoffen bij het raffineren van benzine en diesel. Dat is tweeënhalf keer goedkoper dan om dat via de pomp te doen. Het ministerie van IenW, Infrastructuur en Waterstaat, het ministerie van deze minister, heeft daarom maar bedacht om dat maar tweeënhalf keer duurder te maken.",6
55,1,"Ja, dank u wel.",9
56,9,"Maar dat is toch een heel slecht besluit? Je kunt heel veel geld besparen, juist voor het verdienvermogen van Nederland, als we de meest efficiënte manier toepassen.",6
57,6,Ik moet eerlijk zeggen dat ik het antwoord hierop niet direct bij me heb. Ik wil deze vraag dus graag doorgeleiden naar de minister van KGG of de staatssecretaris van IenW. Dan zal daar schriftelijk antwoord op worden gegeven.,9
58,5,"De minister staat hier toch een beetje te doen alsof er geen vuiltje aan de lucht is, terwijl we natuurlijk zwart-op-wit kunnen lezen in de krant, maar ook in de ambtelijke stukken, dat het gewoon chaos is, dat ministeries onderling ruziën en dat bedrijven er niet doorheen komen. Dan kondigt de minister aan dat er een keer een afspraak komt met een van die twintig bedrijven waar al jarenlang gesprekken mee worden gevoerd, maar dat is toch niet genoeg? Hoe komt er nou een einde aan de chaos? Mijn vraag is dus: stelt de heer Madlener komend jaar, in 2025, een deadline richting die bedrijven? Of ze doen mee met maatwerk en de ministeries zorgen dat we eruit komen met elkaar, of we gaan op een andere manier deze bedrijven vergroenen, maar dan houden we hiermee op.",6
59,6,"Ik denk dat de maatwerkafspraken en die route heel goed zijn, want we zien dat van de twintig grote uitstoters al dertien tot een intentieverklaring zijn gekomen. Dat gaat dus eigenlijk best voortvarend. Het is natuurlijk wel zaak dat die intentieverklaringen gaan leiden tot daadwerkelijke actie. Daarvan kan de Kamer de eerste binnen enkele maanden verwachten. Dan kunt u ook over de inhoud daarvan spreken. Ik zie er meerdere aankomen. Ik denk dus dat het wel de goede kant op gaat. Ik denk dat het belangrijk is dat Nederland deze route kiest en bedrijven niet wegjaagt naar het buitenland. Het zijn namelijk internationale bedrijven die we ook heel snel kwijt kunnen zijn. Ik denk dat het goed is dat we ons best doen om ze hier te houden. Dat doen we door ze te helpen met verduurzamen. Ik denk dat dat de goede route is om de welvaart van Nederland te behouden.",5
60,5,"Tot slot. Aan intenties alleen hebben we niks. Mensen willen resultaat. We zien dat dit kabinet op heel veel fronten te weinig resultaat bereikt. Ik vind ook dit echt ondermaats. Ik vrees echt dat we op deze manier wel degelijk bedrijven gaan verliezen aan het buitenland. Op dit moment zijn de elektriciteitsprijzen hier al vele malen hoger. Op dit moment lukt het bedrijven helemaal niet om tot verduurzaming te komen, terwijl er geld op de plank ligt. Dat is ontzettend zonde van onze duurzame economie.",6
61,6,"Als positief mens moet ik dan zeggen: er zijn inderdaad uitdagingen. Inderdaad, Nederland heeft te maken met hoge energieprijzen. Daarom is het juist belangrijk dat we met die bedrijven de dialoog aangaan om ze hier te houden en om ze te helpen met verduurzamen. Het is belangrijk dat we de lijn die het kabinet heeft ingezet, ook voortzetten. Ik heb zonet gelukkig ook kunnen melden dat de eerste uitwerkingen van de intentieverklaringen binnen enkele maanden uw kant op komen. Dan kunt u weer in gesprek gaan met de minister die daarover gaat. Ik denk dat dat een goede zaak is. De zogenaamde chaos die het krantenartikel suggereert, herken ik totaal niet. Ik heb net nog met ambtenaren van mijn ministerie en het ministerie van KGG gesproken. Die samenwerking gaat prima. Dat beeld herken ik dus absoluut niet. Het gaat hier om ingewikkelde afspraken, waarvan er al dertien gemaakt zijn. De uitwerking komt uw kant op. Ik denk dat het goed nieuws is dat we zo voortvarend met resultaten kunnen komen. Over een aantal maanden heeft u weer een debat met de minister van KGG en dan kunt u over de inhoud van de eerste uitwerkingen spreken.",5
62,1,Heel goed. Dank aan minister Madlener dat hij bij ons was. We wensen hem een prettige werkdag.,6
63,1,Een hartelijk woord van welkom aan de minister van Sociale Zaken en Werkgelegenheid. Hij krijgt een vraag van de heer Aartsen van de fractie van de VVD. Het woord is aan hem.,"11, 10"
64,10,"Dank, meneer de voorzitter. 1 januari nadert en er dreigt voor 1,2 miljoen zzp'ers een groot probleem. De chaos in zzp-land begint steeds duidelijker en ook steeds groter te worden. Over een aantal weken wordt er weer volledig gehandhaafd op de oude wet, de Wet DBA. Dat is een wet die tien jaar geleden al voor veel onrust en paniek zorgde bij zelfstandigen en opdrachtgevers. Het doel van deze wet was evidente problemen met schijnzelfstandigheid aanpakken. Denk aan de bouwvakker die gedwongen wordt om op de steiger te staan als zzp'er of de fietskoerier of afwashulp die geen contract krijgt. Maar we zien in de praktijk steeds duidelijker worden dat deze wet en de handhaving ervan alleen maar voor nieuwe problemen zorgen. Allereerst dreigen heel veel echte zzp'ers een hele hoop opdrachten mis te lopen vanwege deze onrust en onduidelijkheid. Denk aan een invalhuisarts die diensten draait wanneer een collega-huisarts met zwangerschapsverlof gaat. Denk aan een ICT'er die meerdere opdrachten bij verschillende opdrachtgevers wil doen. Die is over vier weken niet meer welkom bij onze eigen overheid. 40% van de zzp'ers geeft aan dat zij opdrachten mis dreigen te lopen vanwege het opheffen van het handhavingsmoratorium. Voorzitter. Ik vrees dat het probleem nog groter is dan dat, want niet alleen zzp'ers ervaren dit probleem, maar wij allemaal. Ik hoef jonge ouders niet uit te leggen hoe erg het is als zij straks, in januari, te horen krijgen dat hun kinderopvang moet sluiten omdat zzp'ers niet in vaste dienst willen. In het beste geval gaan de prijzen alleen flink omhoog. Hetzelfde zien we op het schoolplein gebeuren. 73% van de zzp'ers in het onderwijs weigert namelijk in loondienst te gaan. Zo gaat het maar door. Waarom? Heel veel mensen willen helemaal geen vast dienstverband. Zij willen vrijheid, zelfstandigheid en autonomie. Laat die mensen alsjeblieft. Laten we stoppen die mensen in een malletje te stoppen. Laten we stoppen die mensen in een gedwongen werknemerschap te duwen. Ik heb dan ook de volgende vragen aan de minister. Welk probleem zijn we aan het oplossen, als je kijkt naar wat er nu gebeurt in de sector? Is het medicijn niet vele malen schadelijker dan de kwaal? Wat gaat hij doen om toekomstige chaos te voorkomen, maar ook om de huidige onrust weg te nemen? Is hij bereid te onderzoeken of er een andere handhavingsstrategie nodig is om ervoor te zorgen dat zowel zelfstandigen als opdrachtgevers weer duidelijkheid krijgen?",11
65,1,Het woord is aan de minister.,11
66,11,"Dank u wel, voorzitter. Dank ook aan de heer Aartsen voor zijn vragen. Het is waar: het kabinet heeft al langere tijd het voornemen — dat is ook bediscussieerd in de Tweede Kamer — om met ingang van 1 januari te stoppen met gedogen, om het maar even zo te zeggen, en het handhavingsmoratorium op te heffen. Daarmee gaat er weer strenger gecontroleerd worden of het een terechte constructie is wanneer iemand die in loondienst werkt zich als zelfstandige kwalificeert. Dat staat niet op zichzelf. Dat moet u zien in de context van de enorme groei van het aantal zelfstandigen, die we de afgelopen jaren in Nederland hebben gezien. Aartsen had het over 1,2 miljoen zelfstandigen. Een actueler aantal is zelfs 1,3 miljoen zelfstandigen. 700.000 daarvan verdienen het hoofdinkomen als zelfstandige. We hebben met elkaar geconstateerd dat er daarbij niet zelden sprake is van schijnzelfstandigheid. Schijnzelfstandigheid houdt in dat er sprake is van een constructie waarbij je werkt als zelfstandige, terwijl je volgens het arbeidsrecht eigenlijk in loondienst zou moeten zijn. Dat zien we in heel veel sectoren gebeuren. Dat zien we in de kinderopvang, de beveiliging, de bouw en de bezorging. Ik wil toch nog één keer herhalen waarom dat nou eigenlijk een probleem is. Dat is een probleem omdat we hebben geconstateerd dat schijnzelfstandigheid vaak gepaard gaat met uitbuiting en misstanden. Schijnzelfstandigheid levert namelijk oneigenlijke concurrentie op tussen mensen die in loondienst werken en mensen die zelfstandig zijn. We hebben in een aantal sectoren gezien dat mensen die in loondienst werkten de deur uitgingen, maar dan vaak als zelfstandigen weer terugkwamen in dezelfde organisatie. Het hoge aantal zelfstandigen holt ook het draagvlak onder onze sociale zekerheid uit, want werknemersverzekeringen, zoals de verzekeringen tegen arbeidsongeschiktheid en werkloosheid, maar ook het pensioen, zijn voorzieningen die we met elkaar betalen en moeten opbrengen. Er is serieus nagedacht over het besluit om te stoppen met gedogen. Daar is in september ook over gediscussieerd met de Tweede Kamer. Ja, dat besluit heeft impact op de arbeidsmarkt. Dat is zeker waar. Het leidt tot beweging. Dat zien we op dit moment. Maar daar moeten we niet van schrikken, denk ik. We hebben dat in september met elkaar onder ogen gezien. We hebben daarover gewisseld in het debat. Daar spelen we als kabinet op twee manieren op in. Aan de ene kant accommoderen we de beweging zo goed mogelijk. Dat betekent dat we in gesprek zijn met alle sectoren, om te kijken wat er gebeurt. Dat doen we samen met het marktteam dat actief is binnen de Belastingdienst. We kijken naar de criteria voor wanneer je in loondienst bent en voor wanneer je als zelfstandige kunt blijven werken. Er worden casussen verduidelijkt. Daarover wordt gecommuniceerd met de sectoren en via die sectoren ook met de achterban. Op die manier kunnen bedrijven, organisaties en zelfstandigen zich goed informeren. Ik wijs nog maar even op de website. Ik maak toch maar weer even gebruik van deze gelegenheid om hetjuistecontract.nl te noemen. Als mensen zich afvragen waar zij staan in deze situatie, dan kunnen ze daarop kijken. Het tweede dat we doen, is dat we de handhaving met enige coulance hebben opgestart. Vanaf 1 januari gaat de Belastingdienst inderdaad weer handhaven, maar we hebben gezegd: dat begint niet meteen met boetes uitdelen. Ook gaan we niet meteen met terugwerkende kracht allerlei achterstallige premies opleggen als we een situatie aantreffen waarin onverhoopt sprake is van schijnzelfstandigheid. Voorzitter. Het was een wat lange inleiding, realiseer ik me, maar ik vind het belangrijk om deze context toch te schetsen. Twee dingen nog. Eén. Er ligt ook echt een belangrijke verantwoordelijkheid voor branches en werkgevers om goed in beeld te brengen wat er niet kan, maar ook wat er nog wel kan. Ik wil de heer Aartsen er wel een beetje gelijk in geven dat het beeld af en toe een beetje is alsof het niet meer mogelijk zou zijn om als zelfstandige te werken. Dat beeld wil ik echt wegnemen. Het is wel degelijk mogelijk om als zelfstandige te blijven werken. Sterker nog, ik zou willen blijven uitdragen dat zelfstandigen belangrijk zijn, een toegevoegde waarde hebben in onze economie en dat zelfstandig ondernemerschap ook een heel belangrijke plek verdient in onze economie. Maar we zullen wel scherper moeten aangeven in welke functies je als zelfstandige actief kunt zijn, voor welke werkzaamheden dat geldt en waar dat niet langer kan vanwege het arbeidsrecht. Nogmaals, ook jurisprudentie wijst erop dat dit niet overal kan. Er blijven dus kansen in de markt voor zzp'ers. Voor mensen die een functie willen doen maar die vrijheid of flexibiliteit missen, ligt er ook een belangrijke rol en verantwoordelijkheid voor werkgevers om die in de bestaande arbeidscontracten te gaan bieden.",10
67,10,"Voorzitter. Mijn vraag was: is het medicijn niet vele malen schadelijker dan de kwaal? De minister geeft hier nogmaals de kwaal weer. Ik wil dat we toch ook kijken naar het medicijn. Wij kunnen hier wel tegen de meer dan 2,1 miljoen zelfstandigen zeggen: u zal en u moet verplicht in werknemerschap. Maar als mensen dat niet doen omdat ze vrijheid en zelfstandigheid willen, dan gebeurt er wat we nu zien gebeuren. De situatie is nu dat 73% van de zzp'ers in het onderwijs aangeeft geen vast dienstverband te willen. Wij kunnen met elkaar zeggen dat dit wel moet, maar het resultaat gaat dan zijn dat kinderen in januari naar huis worden gestuurd omdat er te weinig leraren zijn en dat er kinderopvanglocaties gesloten moeten worden omdat mensen met hun voeten gaan stemmen. Dat zijn volgens mij reële zorgen. Ik krijg een beetje het beeld dat wij proberen iedereen in een hoekje te duwen terwijl mensen daar niet op zitten te wachten. Mijn vraag aan de minister is dus nogmaals: moeten we de handhavingsstrategie niet opnieuw bekijken en meer in lijn brengen met de wet. De wet was gericht op precies de gevallen die de minister ook schetst: uitbuiting en gedwongen zelfstandigheid. Dat gaat om mensen die grotendeels onder de €33 zitten, en om het rechtsvermoeden over deze groep. Moeten we de handhaving daar niet veel meer op gaan richten, zodat we aan de andere kant veel meer rust en duidelijkheid bieden? Anders dreigt het echt een grote chaos te worden. Dat moeten we met elkaar niet willen.",11
68,11,"Ik zou dat beeld ook niet per se willen bevestigen. Het is natuurlijk wel belangrijk dat we goed blijven letten op de impact van de maatregel. Ik geef ook aan dat we voortdurend met alle sectoren in gesprek zijn om in de gaten te houden welke ontwikkelingen we zien, of we daar op een goeie manier op inspelen en of we ook de problemen van die sectoren oplossen. De problemen die u noemt, zullen sectoren voor een deel moeten opvangen door vrijheid, autonomie en de verantwoordelijkheid die iemand voor zijn werk wil nemen ook in arbeidscontracten vorm te geven. Werkgevers zullen zich dus moeten afvragen of het arbeidscontract dat ze in de aanbieding doen de ruimte biedt die de moderne werknemer vraagt. Dit is een belangrijk vraagstuk, dat ik opgepakt zie worden in de zorg, de kinderopvang en noem maar op. Dan toch even. Er zijn een aantal indicaties dat er in sectoren zoals de bouw, de kinderopvang en de beveiliging daadwerkelijk echt meer mensen in loondienst aan het werk zijn. Ik las het ergens: het is inderdaad zo dat 82.000 zzp'ers in de eerste negen maanden van dit jaar zijn gestopt, maar in dezelfde periode zijn 150.000 mensen als zzp'er gestart. Meer dan voldoende mensen zien dus, ik denk terecht, kansen als zzp'er op de huidige arbeidsmarkt. Ik zou vanuit het kabinet echt willen blijven benadrukken: die ruimte is er.",10
69,12,"Even over het artikel zelf. Daar staat in dat de marges die gerekend worden door detacheringsbureaus oplopen tot 50%. Dat vind ik echt een zorgwekkende ontwikkeling. Als mensen ervoor kiezen om niet in dienst te gaan, maar via een detacheringsbureau te werken, dan gaat er echt veel geld verloren in die detachering. Is het voor de minister mogelijk om hier nog eens op een andere manier naar te kijken en wellicht handreikingen te doen, bijvoorbeeld door de onderwijsinstellingen zelf detacheringsbureaus zonder winstoogmerk in te laten richten?",11
70,11,"Om met het laatste te beginnen: dat zien we in de zorg en in het onderwijs al gebeuren. Er wordt bijvoorbeeld geprobeerd om op regionale schaal met flexpools te werken. Daarmee probeert de sector zelf op grotere schaal de flexibiliteit te organiseren waar mensen en organisaties naar op zoek zijn. Het antwoord daarop is dus ja. Ik kan niet helemaal uitsluiten dat de beweging die in het artikel wordt beschreven, namelijk dat mensen via detacheringsbureaus aan de slag gaan, ook echt aan de hand is. We hebben nog geen indicaties dat dat op hele grote schaal gebeurt, maar we proberen daar wel zicht op te krijgen. Of dat per definitie duurder is dan de zzp-constructie, is ook nog even de vraag. Het is sowieso duurder dan iemand in loondienst nemen, denk ik. Maar een zzp'er is ook niet altijd goedkoper of even duur vergeleken met iemand in loondienst, zeker omdat ook bij zzp-constructies vaak bemiddelingsbureaus actief zijn.",12
71,13,"Wij geven als BBB al heel lang aan: geef duidelijkheid, zorg dat we deze mensen ook als zelfstandigen zien en kijk niet alleen maar naar de arbeidsrelatie. Maar nu hebben wij gehoord dat het ministerie van Financiën een brief heeft gestuurd aan bedrijven dat de contracten met schijnzelfstandigen bij de overheid zelf worden verlengd, ook na 1 januari. Klopt dit?",11
72,11,"Ik moet heel eerlijk zeggen dat ik met plezier antwoord wil geven, maar dat ik hier niet durf te bevestigen welke brief mijn collega van Financiën precies heeft uitgestuurd. Aangezien we een voorbeeldfunctie hebben, proberen we bij de rijksoverheid wel het aantal schijnzelfstandigen op een zo kort mogelijke termijn naar nul te brengen. Dat vragen we ook van andere sectoren. Ik weet dat daar op dit moment op alle ministeries inspanningen voor worden gedaan.",13
73,10,"Even vanaf deze positie, bij de interruptiemicrofoon, vanwege de procedure. Het lijkt toch alsof deze minister de problemen, de chaos en de onrust die er zijn, probeert te bagatelliseren. Ik zou deze minister en de staatssecretaris van Financiën toch echt willen oproepen om goed de vinger aan de pols te houden qua wat er gebeurt. Want kinderen moeten straks, een week na oud en nieuw, weer naar school. Kinderen moeten dan weer naar de kinderopvang. Mensen moeten een huisarts hebben. Als er op dat moment grote problemen zijn in die sectoren, hebben we echt een enorm probleem. Soms kan niet alles in één keer. Ik wil dus ook vragen aan dit kabinet: zorg nou voor een goed plan B, een back-upplan voor deze handhaving, voor als deze problemen zich echt gaan voordoen. Anders hebben we echt een probleem met elkaar.",11
74,11,"De kern van wat ik hier betoog, is volgens mij dat wij met gevoel voor die uitvoeringspraktijk de basisafspraak hebben gemaakt, die volgens mij ook werd gesteund door de Tweede Kamer. We moeten namelijk een keer door dat punt heen dat we weer gaan handhaven wat de wet is. Want het is op zichzelf duidelijk wat de wet is. Alleen, we willen dat met gevoel doen. Dat doen we door mee te denken met de sectoren, door de problemen inzichtelijk te maken, door dilemma's te verduidelijken en door de handhaving coulant op te starten. Dat is volgens mij de lijn die we ook bij de Tweede Kamer hebben opgehaald.",10
75,10,"Zeker, maar we hebben als Kamer wel heel duidelijk gezegd dat we een zachte landing willen. En als die landing dadelijk niet zacht, maar hard blijkt, hebben we een groot probleem. Vandaar ook echt de oproep om te gaan kijken en blijven kijken naar die handhaving. Blijf nou niet recht op een muur afrijden als die dadelijk echt hard blijkt te zijn. Maar laten we dan ook durven zeggen: misschien moeten we alleen maar, of voornamelijk, handhaven onder die €33. Want als die chaos en onrust dadelijk zo groot zijn dat er problemen zijn, dan schiet het doel zich voorbij. Nogmaals, dan is het medicijn schadelijker dan de kwaal. Dat moeten we zien te voorkomen.",11
76,11,"Wij zullen natuurlijk ons werk blijven doen met oog voor de uitvoeringspraktijk. Ik bedoel, we zijn natuurlijk geen knip voor de neus waard als wij oogkleppen op zouden hebben of een blinde vlek zouden hebben voor de hele reële vraagstukken die zich daar voordoen. Die hebben we niet. We zijn met de sectoren in gesprek. We proberen dit beleid uit te voeren op basis van reële signalen: ontstaan die problemen daar, of zien we een beweging op gang komen dat meer mensen in vaste dienst gaan en dat die problemen zich langzaam maar zeker oplossen? Dat kan ik dus zeker toezeggen.",10
77,14,"Ik wil de minister bedanken voor de warme woorden voor de zelfstandigen. De PVV denkt daar op dezelfde manier over. Wij hebben wel een vraag aan de minister. Er komt straks een motie in stemming over de zachte landing voor zzp'ers. Kunt u bij die motie deze draaideurconstructie voor uitzend-, bemiddelings- en detacheringsbureaus waarvan gebruik, of eventueel misbruik wordt gemaakt, meenemen en daarover ook rapporteren?",11
78,11,"Ik wil toezeggen dat wij zo goed mogelijk in beeld proberen te brengen wat de feitelijke ontwikkelingen zijn die zich op de arbeidsmarkt voordoen. Daarbij hoort ook de beweging naar dit soort uitzend- en detacheringsconstructies. Dat er daarbij geen misbruik mag zijn, is ook een vertrekpunt, want het gaat daar per definitie vaak om tijdelijke constructies. Ook dat zullen we in beeld brengen.",14
79,8,"Met zo'n verandering worden er altijd beelden geschetst van hoe het dramatisch fout kan gaan, maar het kan ook heel goed zijn. Wij zijn het ermee eens dat we dit gaan doen. Het is ontzettend belangrijk om ervoor te zorgen dat werknemers een vast contract hebben. Het heeft voordelen voor kinderen op de groep om een vast gezicht te hebben, om vaste medewerkers te hebben. Denk ook aan de pensioenopbouw en de zorg voor als je ziek wordt. Mijn vraag is: wat kan de minister nog doen om ervoor te zorgen dat organisaties hun vaste contracten zo aantrekkelijk mogelijk kunnen maken in verhouding tot de zzp-contracten?",11
80,11,"Dat is een hele terechte vraag. We zien gelukkig dat niet alleen individuele werkgevers, maar ook sectoren zich er heel erg bewust van zijn dat de moderne werknemer — we hebben het natuurlijk voor een deel over een verandering op de arbeidsmarkt — meer aan die autonomie gaat hechten en dat je daar als werkgever in arbeidscontracten en arbeidsvoorwaarden rekening mee moet houden. Denk aan zelfroosteren, een flexpool of andere manieren die je kunt bieden. Ik heb de indruk dat ik daar niet zo heel veel aan hoef te doen. In bijna alle gesprekken met sectoren komt dit aan de orde.",8
81,1,Dank u wel. Wat was ook alweer de naam van die website?,11
82,11,"Dank u wel voor de gelegenheid, voorzitter. Die website heet: hetjuistecontract.nl.",1
83,1,"O ja, nou weet ik het weer. Tot zover het vragenuurtje. Ik schors enkele minuten en dan gaan we stemmen. De vergadering wordt enkele ogenblikken geschorst.","11, 15"
